Row #,CocState,CoC,HudNum,Status,Year,Organization Name,HMIS Org ID,Project Name,HMIS Project ID,HIC Date,Project Type,Bed Type,Geocode,HMIS Participating,Inventory Type,Inventory Start Date,Target Population,mcKinneyVentoEsgEs,mcKinneyVentoEsgRrh,mcKinneyVentoEsgCov,mcKinneyVentoEsgRUSH,mcKinneyVentoCocSh,mcKinneyVentoCocTh,mcKinneyVentoCocPsh,mcKinneyVentoCocRrh,mcKinneyVentoCocSro,mcKinneyVentoCocThRrh,mcKinneyVentoSpC,mcKinneyVentoS8,mcKinneyVentoShp,mcKinneyVentoYhdp,mcKinneyVentoYhdpRenewals,mcKinneyVentoUnshelt,mcKinneyVentoRural,federalFundingVash,federalFundingSsvf,federalFundingGpdBh,federalFundingGpdLd,federalFundingGpdHh,federalFundingGpdCt,federalFundingGpdSith,federalFundingGpdTp,federalFundingHchvCrs,federalFundingHchvSh,federalFundingBcp,federalFundingMgh,federalFundingTlp,federalFundingRhyDp,federalFundingHopwaHmv,federalFundingHopwaPh,federalFundingHopwaStsf,federalFundingHopwaTh,federalFundingHopwaCovid,federalFundingPih,federalFundingIndianEhv,federalFundingHome,federalFundingHomeArp,federalFundingOther,federalFundingOtherSpecify,Housing Type,Victim Service Provider,address1,address2,city,state,zip,Beds HH w/ Children,Units HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,O/V Beds,Pit Count,Total Beds,Updated On,notes,projectNotes,sandyRelated,sandyRelatedNote,HOPWAMedAssistedLivingFac
75,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Delaware Center for Homeless Veterans,328,DCHV - 365 Airport Road VA GPD TH,868,1/24/2024,TH,,#109003,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,1200 North Walnut St,Roger Bungy,Wilmington,DE,19720,4,2,4,0,0,6,6,0,0,0,0,10,0,,,0,4,10,4/16/2024,,,No,,2
84,DE,Delaware Statewide CoC,DE-500,Submitted,2024,New Castle County,762,New Castle County - Hope Center ES 2.0,926,1/24/2024,ES,F,#109003,Yes,C,3/1/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDBG,SB-S,0,365 Airport Road,,New Castle,DE,19720,201,57,0,0,0,45,0,0,0,0,0,246,0,,,0,242,246,7/15/2024,,,No,,2
7,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - Womanspace HOPWA PSH,77,1/24/2024,PSH,,#100336,Yes,C,1/25/2023,HIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,TB,0,708-710 West Street,,Wilmington,DE,19801,4,2,0,0,4,9,0,0,9,0,0,13,0,,,0,13,13,4/16/2024,,,No,,0
9,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - Next Step PSH,88,1/24/2024,PSH,,#109003,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,500 W. 10th Street,,Wilmington,DE,19801,3,1,0,0,3,31,0,0,31,0,0,34,0,,,0,34,34,4/25/2024,,,No,,2
13,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Mary Mother of Hope House III ES,94,1/24/2024,ES,F,#100336,Yes,C,1/25/2023,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,515 North Broom Street,,Wilmington,DE,19801,19,6,0,0,0,0,0,0,0,0,0,19,0,,,0,13,19,4/16/2024,,,No,,2
17,DE,Delaware Statewide CoC,DE-500,Submitted,2024,The Salvation Army,57,Salvation Army - Booth Social Services ES,118,1/24/2024,ES,F,#109003,Yes,C,1/24/2024,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,104 W. 5th Street,,Wilmington,DE,19801,10,2,0,0,0,7,0,0,0,0,0,17,0,,,0,17,17,4/16/2024,,,No,,2
18,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - HLMC II TH,124,1/24/2024,TH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,709 North Madison Street,,Wilmington,DE,19801,28,10,0,0,0,0,0,0,0,0,0,28,0,,,0,18,28,4/16/2024,,,No,,2
19,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - Easy Access PSH,126,1/24/2024,PSH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,500 W. 10th Street,,Wilmington,DE,19801,2,1,0,0,2,52,0,0,52,0,0,54,0,,,0,54,54,4/25/2024,,,No,,2
22,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Padre Pio House - OPH,192,1/24/2024,OPH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,213 N Jackson Street,,Wilmington,DE,19801,0,0,0,0,0,6,0,0,0,0,0,6,0,,,0,5,6,4/16/2024,,,No,,2
25,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Maria Longo House - OPH,251,1/24/2024,OPH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Rent Fees,SB-S,0,822 N Jefferson Street,,Wilmington,DE,19801,0,0,0,0,0,6,0,0,0,0,0,6,0,,,0,5,6,4/16/2024,,,No,,2
28,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - Next Step 3 PSH,324,1/24/2024,PSH,,#109005,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,500 West 10th Street,,Wilmington,DE,19801,37,11,0,0,37,21,0,0,21,0,0,58,0,,,0,58,58,4/25/2024,,,No,,2
29,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - New Century PSH,370,1/24/2024,PSH,,#100090,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,,,Wilmington,DE,19801,16,5,0,0,16,65,0,0,65,0,0,81,0,,,0,81,81,4/26/2024,,,No,,2
30,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - ESG RRH COW,378,1/24/2024,RRH,,#100336,Yes,C,1/24/2024,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,709 Madison St,,Wilmington,DE,19801,5,2,0,0,0,0,0,0,0,0,0,5,0,,,0,5,5,4/16/2024,,,No,,2
38,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Child, Inc.",46,"Child, Inc. - RHY Shelter ES",524,1/24/2024,ES,F,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,"100 W. 10th Street, Suite 207",,Wilmington,DE,19801,0,0,0,0,0,0,0,0,0,2,0,2,0,,,0,0,2,4/16/2024,,,No,,0
39,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Nazareth House II PSH,530,1/24/2024,PSH,,#100336,Yes,C,11/2/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-C,0,106 N. Broom Street,,Wilmington,DE,19801,24,7,0,0,24,0,0,0,0,0,0,24,0,,,0,24,24,4/25/2024,,,No,,2
40,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - CoC RRH,531,1/24/2024,RRH,,#100336,Yes,C,1/24/2024,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,1410 North Claymont Street,,Wilmington,DE,19801,0,0,0,0,0,2,0,0,0,0,0,2,0,,,0,2,2,4/16/2024,,,No,,2
44,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - New Hope 2 PSH,583,1/24/2024,PSH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,,,Wilmington,DE,19801,54,19,0,0,54,36,0,0,36,0,0,90,0,,,0,101,90,4/25/2024,,,No,,2
48,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Delaware Center for Homeless Veterans,328,DCHV - 1200 Walnut & 365 Airport Road ES,646,1/24/2024,ES,F,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-C,0,1200 North Walnut St,,Wilmington,DE,19801,7,7,7,0,0,8,8,0,0,0,0,15,0,,,0,12,15,7/15/2024,,,No,,2
49,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - HLMC I ES,648,1/24/2024,ES,F,#100336,Yes,C,1/25/2023,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,709 North Madison Street,,Wilmington,DE,19801,47,26,0,0,0,0,0,0,0,0,0,47,0,,,0,19,47,7/15/2024,,,No,,2
50,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - HLMC I TH,649,1/24/2024,TH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,709 North Madison Street,,Wilmington,DE,19801,11,2,0,0,0,0,0,0,0,0,0,11,0,,,0,11,11,4/16/2024,,,No,,2
55,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - CoC RRH,692,1/24/2024,RRH,,#100336,Yes,C,1/24/2024,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,709 Madison St,,Wilmington,DE,19801,44,13,0,0,0,6,0,0,0,0,0,50,0,,,0,50,50,4/16/2024,,,No,,2
60,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Family Promise of Northern New Castle County,350,Family Promise - Home4Good RRH,754,1/24/2024,RRH,,#109003,Yes,C,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Home4Good funding, a local funding provided by Delaware State Housing Authority",TB,0,2104 St James Church Rd,,Wilmington,DE,19801,0,0,0,0,0,1,0,0,0,0,0,1,0,,,0,1,1,4/16/2024,,,No,,2
61,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Home4Good RRH,755,1/24/2024,RRH,,#100336,Yes,C,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Home4Good funding, a local funding provided by Delaware State Housing Authority",TB,0,1410 North Claymont Street,,Wilmington,DE,19801,0,0,0,0,0,1,0,0,0,0,0,1,0,,,0,1,1,4/16/2024,,,No,,2
62,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - Home4Good RRH,756,1/24/2024,RRH,,#100336,Yes,C,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Home4Good funding, a local funding provided by Delaware State Housing Authority",TB,0,709 Madison St,,Wilmington,DE,19801,17,5,0,0,0,6,0,0,0,0,0,23,0,,,0,23,23,4/16/2024,,,No,,2
76,DE,Delaware Statewide CoC,DE-500,Submitted,2024,The Salvation Army,57,Salvation Army - DSHA Home4Good RRH,869,1/24/2024,RRH,,#109003,Yes,C,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Home4Good funding, a local funding provided by Delaware State Housing Authority",TB,0,104 W. 5th Street,,Wilmington,DE,19801,5,1,0,0,0,2,0,0,0,0,0,7,0,,,0,7,7,4/16/2024,,,No,,2
77,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Veterans Affairs Office,871,VA-VASH,873,1/24/2024,PSH,,#109003,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,415 N. High St,Peter Wine,Millville,NJ,19801,0,0,0,0,0,219,219,0,0,0,0,219,0,,,0,219,219,4/26/2024,,,No,,2
82,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - CoC SCHE - TH,918,1/24/2024,TH,,#100336,Yes,C,1/25/2023,DV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,709 North Madison Street,,Wilmington,DE,19801,4,2,0,0,0,2,0,0,0,0,0,6,0,,,0,2,6,4/16/2024,,,No,,2
83,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YWCA,119,YWCA - CoC SCHE - RRH,919,1/24/2024,RRH,,#100336,Yes,C,1/24/2024,DV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,709 Madison St,,Wilmington,DE,19801,19,5,0,0,0,0,0,0,0,0,0,19,0,,,0,19,19,4/23/2024,NULL,,No,,2
85,DE,Delaware Statewide CoC,DE-500,Submitted,2024,YMCA Central,304,YMCA Central - CoC PSH,935,1/24/2024,PSH,,#100336,Yes,C,8/1/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,501 W. 11th st.,Jimia Redden,Wilmington,DE,19801,0,0,0,0,0,25,0,0,25,0,0,25,0,,,0,11,25,4/16/2024,,,No,,2
86,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Delaware Center for Homeless Veterans,328,DCHV - SSVF: RRH,944,1/24/2024,RRH,,#100336,Yes,C,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,1200 North Walnut St,Roger Bungy,Wilmington,DE,19801,2,1,2,0,0,1,1,0,0,0,0,3,0,,,0,3,3,4/16/2024,,,No,,2
95,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Child, Inc. - VSP/DV",958,"Child, Inc. - CoC DV RRH",962,1/24/2024,RRH,,#100336,Comparable,C,1/24/2024,DV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,1,Confidential,,Wilmington,DE,19801,47,14,0,0,0,2,0,0,0,0,0,49,0,,,0,49,49,4/17/2024,,,No,,2
96,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Mary Mother of Hope House OPH,967,1/24/2024,OPH,,100336,Yes,C,12/1/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,820 Jefferson St,,Wilmington,DE,19801,0,0,0,0,0,9,0,0,0,0,0,9,,,,,5,9,4/26/2024,,Local donations,No,,
72,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Wilmington Housing Authority,667,WHA - EHV PH,865,1/24/2024,OPH,,#100336,No,C,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,TB,0,,,,,19801,92,28,0,0,0,12,0,0,0,0,0,104,0,,,0,104,104,4/25/2024,,,No,,2
74,DE,Delaware Statewide CoC,DE-500,Submitted,2024,New Castle County,762,NCC - EHV PH,867,1/24/2024,OPH,,#100336,No,C,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,TB,0,,,,,19801,86,31,0,0,0,9,0,0,0,0,0,95,0,,,0,95,95,4/25/2024,,,No,,2
33,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Sojourners' Place,144,Sojourners' Place - Transitional TH,455,1/24/2024,TH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CDBG,SB-S,0,2901 Governor Printz Blvd,,Wilmington,DE,19802,0,0,0,0,0,40,0,0,0,0,0,40,0,,,0,27,40,4/16/2024,,,No,,2
57,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - House of Joseph II HOPWA PSH,742,1/24/2024,PSH,,#100336,Yes,C,7/1/2023,HIV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,SB-S,0,7-9 West 18th Street,,Wilmington,DE,19802,0,0,0,0,0,16,0,0,16,0,0,16,0,,,0,11,16,4/16/2024,,,No,,0
8,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - PH for 20 Consolidated PSH,87,1/24/2024,PSH,,#109003,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,500 W. 10th Street,,Wilmington,DE,19805,2,1,0,0,0,28,0,0,28,0,0,30,0,,,0,30,30,4/25/2024,,,No,,2
11,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Bethany House PSH,92,1/24/2024,PSH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,601 North Jackson Street,,Wilmington,DE,19805,0,0,0,0,0,7,0,0,7,0,0,7,0,,,0,6,7,4/16/2024,,,No,,2
12,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Mary Mother of Hope House II ES,93,1/24/2024,ES,F,#100336,Yes,C,1/1/2020,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,121 North Jackson Street,,Wilmington,DE,19805,31,9,0,0,0,0,0,0,0,0,0,31,0,,,0,12,31,7/15/2024,,,No,,2
15,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - House of Joseph I ES,97,1/24/2024,ES,F,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,COW CDBG,SB-S,0,1328 West 3rd Street,,Wilmington,DE,19805,0,0,0,0,0,12,0,0,0,0,0,12,0,,,0,8,12,7/15/2024,,,No,,2
16,DE,Delaware Statewide CoC,DE-500,Submitted,2024,West End Neighborhood House,50,West End Neighborhood House - Life Lines 2 PSH,107,1/24/2024,PSH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-C,0,710 Lincoln Street,,Wilmington,DE,19805,0,0,0,0,0,11,0,0,11,0,0,11,0,,,0,13,11,4/25/2024,,,No,,2
21,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Supportive Transitional & Emergency Housing Ministry, Inc.",175,STEHM - Martha House I & II TH,179,1/24/2024,TH,,#109003,Yes,C,1/25/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,"415, 417 South Harrison",,Wilmington,DE,19805,13,4,0,0,0,3,0,0,0,0,0,16,0,,,0,8,16,4/16/2024,,,No,,2
24,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Catholic Charities,45,Catholic Charities - Bayard House TH,232,1/24/2024,TH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,300 Bayard Avenue,,Wilmington,DE,19805,6,3,0,0,0,2,0,0,0,0,0,8,0,,,0,7,8,7/15/2024,,,No,,2
26,DE,Delaware Statewide CoC,DE-500,Submitted,2024,"Conexio Care, Inc.",41,Conexio Care - Judy's House PSH,265,1/24/2024,PSH,,#109003,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,"590 Naamans Rd,",,Claymont,DE,19805,0,0,0,0,0,16,0,0,16,0,0,16,0,,,0,16,16,4/16/2024,,,No,,2
35,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Bethany House II PSH,473,1/24/2024,PSH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,601 North Jackson Street,,Wilmington,DE,19805,0,0,0,0,0,6,0,0,6,0,0,6,0,,,0,6,6,4/16/2024,,,No,,2
47,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Catholic Charities,45,Catholic Charities - Bayard House ES,613,1/24/2024,ES,F,#100336,Yes,C,1/24/2024,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,300 Bayard Ave,,Wilmington,DE,19805,0,0,0,0,0,2,0,0,0,0,0,2,0,,,0,0,2,4/19/2024,,,No,,2
53,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Catholic Charities,45,Catholic Charities - Bayard House Youth Project TH,663,1/24/2024,TH,,#109003,Yes,C,6/21/2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,COW CDBG,SB-S,0,300 Bayard Avenue,,Wilmington,DE,19805,7,3,0,7,0,0,0,0,0,0,0,7,0,,,0,5,7,7/15/2024,,,No,,2
56,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - House of Joseph Residence PSH,696,1/24/2024,PSH,,#100336,Yes,C,1/25/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,111 N Jackson St,,Wilmington,DE,19805,0,0,0,0,0,7,0,0,7,0,0,7,0,,,0,7,7,4/16/2024,,,No,,2
59,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Catholic Charities,45,Catholic Charities - Home4Good RRH,753,1/24/2024,RRH,,#100336,Yes,U,1/24/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,2601 W 4th St,,Wilmington,DE,19805,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4/24/2024,,,No,,2
69,DE,Delaware Statewide CoC,DE-500,Submitted,2024,Ministry of Caring,84,Ministry of Caring - Samaritan Housing ES,860,1/24/2024,ES,F,#100336,Yes,C,7/1/2019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DSS,SB-S,0,1328 West 3rd Street,,Wilmington,DE,19805,23,6,0,0,0,7,0,0,0,0,0,30,0,,,0,16,30,4/16/2024,,,No,,2
78,DE,Delaware Statewide CoC,DE-500,Submitted,2024,West End Neighborhood House,50,West End Neighborhood House - Life Lines 3 PSH,907,1/24/2024,PSH,,#100336,Yes,C,2/27/2023,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-C,0,710 Lincoln Street,,Wilmington,DE,19805,0,0,0,0,0,10,0,0,10,0,0,10,0,,,0,10,10,4/25/2024,,,No,,2
