Row #,CocState,CoC,HudNum,Status,Year,Organization Name,HMIS Org ID,Project Name,HMIS Project ID,HIC Date,Project Type,Bed Type,Geocode,HMIS Participating,Inventory Type,Inventory Start Date,Target Population,mcKinneyVentoEsgEs,mcKinneyVentoEsgRrh,mcKinneyVentoEsgCov,mcKinneyVentoEsgRUSH,mcKinneyVentoCocSh,mcKinneyVentoCocTh,mcKinneyVentoCocPsh,mcKinneyVentoCocRrh,mcKinneyVentoCocSro,mcKinneyVentoCocThRrh,mcKinneyVentoSpC,mcKinneyVentoS8,mcKinneyVentoShp,mcKinneyVentoYhdp,mcKinneyVentoYhdpRenewals,mcKinneyVentoUnshelt,mcKinneyVentoRural,federalFundingVash,federalFundingSsvf,federalFundingGpdBh,federalFundingGpdLd,federalFundingGpdHh,federalFundingGpdCt,federalFundingGpdSith,federalFundingGpdTp,federalFundingHchvCrs,federalFundingHchvSh,federalFundingBcp,federalFundingMgh,federalFundingTlp,federalFundingRhyDp,federalFundingHopwaHmv,federalFundingHopwaPh,federalFundingHopwaStsf,federalFundingHopwaTh,federalFundingHopwaCovid,federalFundingPih,federalFundingIndianEhv,federalFundingHome,federalFundingHomeArp,federalFundingOther,federalFundingOtherSpecify,Housing Type,Victim Service Provider,address1,address2,city,state,zip,Beds HH w/ Children,Units HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,O/V Beds,Pit Count,Total Beds,Updated On,notes,projectNotes,sandyRelated,sandyRelatedNote,HOPWAMedAssistedLivingFac
17,AK,Anchorage CoC,AK-500,Submitted,2024,Abused Women's Aid in Crisis,287,Abused Women's Aid in Crisis - Willa's Way TH,291,1/29/2024,TH,,#020078,No,U,10/1/2004,DV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,1,100 West 13th Avenue,,Anchorage,AK,99501,0,0,0,0,0,15,0,0,0,0,0,15,0,,,0,,15,7/19/2024,,,No,,2
19,AK,Anchorage CoC,AK-500,Submitted,2024,Rural Alaska Community Action Program,111,Rural Alaska Community Action Program - Sitka Place PSH,393,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MOA,SB-S,0,1905 E 4th Avenue,Central Office,Anchorage,AK,99501,0,0,0,0,0,50,0,0,15,0,0,50,0,,,0,42,50,4/11/2024,NaN,,No,,2
20,AK,Anchorage CoC,AK-500,Submitted,2024,Rural Alaska Community Action Program,111,Rural Alaska Community Action Program - Safe Harbor Muldoon TH,397,1/29/2024,TH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AHFC BHAP,SB-C,0,207 Muldoon Road,,Anchorage,AK,99501,195,43,0,0,0,5,0,0,0,0,0,200,0,,,0,168,200,4/24/2024,There were several large families in house on the night of the count and cribs were in use.There were 39 households served on the night of the count of which there were 37 households with children with an average household size of 4.26.  These units have two or three beds and families  and there were 26 children under the age of five.,,No,,2
23,AK,Anchorage CoC,AK-500,Submitted,2024,Rural Alaska Community Action Program,111,Rural Alaska Community Action Program - CoC 325 E. 3rd PSH,524,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,325 E 3rd Avenue,,Anchorage,AK,99501,0,0,0,0,0,20,0,0,20,0,0,20,0,,,0,20,20,4/10/2024,,,No,,2
30,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - CoC Rapid Rehousing RRH,816,1/29/2024,RRH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,755 A Street,Youth Engagement Center,Anchorage,AK,99501,0,0,0,0,0,15,0,15,0,0,0,15,0,,,0,15,15,5/8/2024,,,No,,2
34,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - Non-Participating Charlie Elder House TH,905,1/29/2024,TH,,#020078,No,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,3015 Yale Drive,Youth Engagement Center,Anchorage,AK,99501,0,0,0,0,0,0,0,0,0,5,0,5,0,,,0,5,5,4/10/2024,,,No,,2
41,AK,Anchorage CoC,AK-500,Submitted,2024,Cook Inlet Housing Authority,553,Cook Inlet Housing Authority - Non-participating Affordable Housing PSH,1078,1/29/2024,PSH,,#020078,No,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,LIHTC and NAHASDA funds,SB-C,0,3510 Spenard Road,,Anchorage,AK,99501,0,0,0,0,0,108,0,0,0,0,0,108,0,,,0,108,108,4/10/2024,,,No,,2
42,AK,Anchorage CoC,AK-500,Submitted,2024,Alaska Housing Finance Corporation,370,Alaska Housing Finance Corporation - Emergency Housing Vouchers Anchorage PSH,1083,1/29/2024,OPH,,#020078,No,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,AHFC: Emergency Housing Voucher,TB,0,4300 Boniface Parkway,,Anchorage,AK,99501,28,11,0,0,0,89,0,0,0,0,0,117,0,,,0,117,117,4/10/2024,,,No,,2
45,AK,Anchorage CoC,AK-500,Submitted,2024,"Henning, Inc.",1098,"Henning, Inc. - Aviator Emergency Shelter ES",1107,1/29/2024,ES,F,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MOA ATAX,SB-S,0,1025 W 77th Avenue,,Anchorage,AK,99501,0,0,0,0,0,0,0,0,0,0,0,0,274,10/16/2023,4/30/2024,0,203,274,4/22/2024,,,No,,2
46,AK,Anchorage CoC,AK-500,Submitted,2024,"Henning, Inc.",1098,"Henning, Inc. - Emergency Cold Weather Congregate Shelter ES",1109,1/29/2024,ES,F,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MOA ATAX,SB-S,0,1025 W 77th Avenue,,Anchorage,AK,99501,0,0,0,0,0,0,0,0,0,0,0,0,200,10/23/2023,4/30/2024,0,198,200,4/22/2024,,,No,,2
